Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,96.19,3.23
1,79.54,10.17
2,68.17,16.19
3,59.13,21.77
4,57.75,28.57
5,55.71,36.34
6,54.05,44.43
7,48.56,51.43
8,51.95,55.95
9,56.22,57.63
10,52.81,57
11,47.56,54.87
12,47.71,52.06
13,47.35,48.98
14,45.73,45.35
15,43.56,41.2
16,42.18,37.38
17,42.09,34.77
18,41.33,33.6
19,40.65,33.59
20,39.97,34.33
21,40.04,35.4
22,39.24,36.21
23,39.03,36.11
24,38.63,34.74
25,37.32,32.46
26,36.3,30.26
27,36.37,29.15
28,36.42,29.25
29,36.5,29.64
30,36.35,29.33
31,35.61,28.19
32,35.72,26.92
33,35.88,26.49
34,35.45,27.6
35,35.85,30.22
36,35.44,33.52
37,35.86,36.26
38,35.33,37.47
39,35.28,36.88
40,35.08,35.14
41,33.78,33.41
42,33.89,32.54
43,32.84,32.44
44,32.88,32.45
45,32.54,31.91
46,32.54,30.6
47,31.72,28.8
48,31.46,27.07
49,30.73,25.9
50,30.8,25.77
51,30.46,27.23
52,30.67,30.8
53,31.1,36.33
54,31.16,42.12
55,33.59,45.32
56,36.98,44.21
57,36.66,39.06
58,33.66,31.15
59,32.86,21.78
60,32.85,12.11
61,32.11,2.77
62,30.44,-5.75
63,30.24,-12.61
64,30.34,-17.58
65,29.88,-21.28
66,28.01,-24.13
67,28.09,-26.42
68,26.84,-28.66
69,25.14,-31.35
70,20.75,-34.38
71,19.45,-36.37
72,18.24,-34.96
73,17.75,-28.56
74,17.21,-18.19
75,18.95,-7.18
76,21.77,1.25
77,22.68,5.87
78,22.73,6.82
79,22.3,4.74
80,21.86,1.07
81,21.05,-2.54
82,20.83,-5.22
83,20.13,-7.13
84,19.65,-8.85
85,19.44,-10.75
86,19.06,-12.76
87,18.84,-14.37
88,18.31,-15.02
89,18.02,-14.63
90,17.74,-13.79
91,17.06,-13.2
92,16.86,-13.03
93,16.41,-12.83
94,15.85,-12.09
95,15.35,-11.01
96,14.77,-10.51
97,13.96,-11.13
98,12.73,-12.32
99,11.39,-13.11
